referenceTime,value
2009-01-31T23:00:00Z,75
2009-02-28T23:00:00Z,50.4
2009-03-31T22:00:00Z,33.9
2009-04-30T22:00:00Z,71.6
2009-05-31T22:00:00Z,59
2009-06-30T22:00:00Z,136.6
2009-07-31T22:00:00Z,57.6
2009-08-31T22:00:00Z,204.3
2009-09-30T22:00:00Z,108.8
2009-10-31T23:00:00Z,25.4
2009-11-30T23:00:00Z,59.1
2009-12-31T23:00:00Z,29.5
2010-01-31T23:00:00Z,31.2
2010-02-28T23:00:00Z,81
2010-03-31T22:00:00Z,51.7
2010-04-30T22:00:00Z,76.1
2010-05-31T22:00:00Z,96.6
2010-06-30T22:00:00Z,74.4
2010-07-31T22:00:00Z,52.7
2010-08-31T22:00:00Z,70.5
2010-09-30T22:00:00Z,86
2010-10-31T23:00:00Z,34.8
2010-11-30T23:00:00Z,59.8
2010-12-31T23:00:00Z,67.1
2011-01-31T23:00:00Z,41.2
2011-02-28T23:00:00Z,100.6
2011-03-31T22:00:00Z,62.9
2011-04-30T22:00:00Z,69.9
2011-05-31T22:00:00Z,91.9
2011-06-30T22:00:00Z,85.2
2011-07-31T22:00:00Z,162.3
2011-08-31T22:00:00Z,144.3
2011-09-30T22:00:00Z,97.4
2011-10-31T23:00:00Z,55.6
2011-11-30T23:00:00Z,80.2
2011-12-31T23:00:00Z,71.6
2012-01-31T23:00:00Z,124.9
2012-02-29T23:00:00Z,179
2012-03-31T22:00:00Z,37.7
2012-04-30T22:00:00Z,31.6
2012-05-31T22:00:00Z,80.8
2012-06-30T22:00:00Z,93.8
2012-07-31T22:00:00Z,43.8
2012-08-31T22:00:00Z,96.3
2012-09-30T22:00:00Z,80.6
2012-10-31T23:00:00Z,21.2
